Country,srcYear,Region,Number of boys registered,Number of girls registered,Total number of candidates registered,Number of boy candidates appeared,Number of girl candidates appeared,Total number of candidates appeared,Number of boys passed,Number of girls passed,Total number of candidates passed,Pass percentage of boys,Pass percentage of girls,Total pass percentage of candidates,YearCode,Year
India,2018-19,Thiruvananthapuram,18915,19582,38497,18875,19548,38423,18187,19208,37395,96.35,98.26,97.32,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Allahabad,86576,48719,135295,84768,48278,133046,59745,39116,98861,70.48,81.02,74.31,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Patna,54537,31007,85544,52949,30614,83563,34845,24099,58944,65.81,78.72,70.54,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Chennai,38669,30894,69563,38466,30789,69255,35565,29445,65010,92.46,95.63,93.87,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Guwahati,25104,23158,48262,24288,22776,47064,16156,16345,32501,66.52,71.76,69.06,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Delhi,123160,119376,242536,121586,118278,239864,103258,110229,213487,84.93,93.19,89,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Panchkula,108040,81609,189649,107088,81295,188383,87415,73614,161029,81.63,90.55,85.48,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Bhubaneswar,36231,27142,63373,35601,26962,62563,28348,23224,51572,79.63,86.14,82.43,2018,"Financial Year (Apr - Mar), 2018"
India,2018-19,Ajmer,78982,56466,135448,78595,56354,134949,66052,51026,117078,84.04,90.55,86.76,2018,"Financial Year (Apr - Mar), 2018"
India,2019-20,Dehradun,70804,46062,116866,69705,45775,115480,50622,38273,88895,72.62,83.61,76.98,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Trivandrum,17971,19127,37098,17903,19089,36992,17439,18887,36326,97.41,98.94,98.2,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Prayagraj,99628,55977,155605,97726,55490,153216,68303,44998,113301,69.89,81.09,73.95,2019,"Financial Year (Apr - Mar), 2019"
India,2012-13,Patna,42073,20437,62510,40736,20199,60935,27017,16251,43268,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Bhubaneswar,19779,14662,34441,19399,14519,33918,15734,12662,28396,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Allahabad,94584,50505,145089,92437,50087,142524,60621,40121,100742,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Chennai,37160,30946,68106,36923,30784,67707,32813,28526,61339,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Guwahati,19646,16449,36095,19110,16179,35289,13564,11855,25419,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Delhi,120615,109929,230544,119442,109024,228466,96916,98185,195101,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Panchkula,72923,52625,125548,72034,52292,124326,53779,44336,98115,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2012-13,Ajmer,50137,34319,84456,49754,34188,83942,40534,30213,70747,,,,2012,"Financial Year (Apr - Mar), 2012"
India,2016-17,Patna,48111,26888,74999,45657,26343,72000,32471,21735,54206,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Bhubaneswar,29532,22355,51887,29033,22185,51218,24647,20239,44886,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Dehradun,72904,43687,116591,70929,43266,114195,49627,36326,85953,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Allahabad,59284,32374,91658,57410,31964,89374,41392,26474,67866,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Thiruvananthapuram,16126,15415,31541,16059,15385,31444,15458,15235,30693,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Chennai,31066,24032,55098,30862,23894,54756,28279,22441,50720,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Guwahati,25754,23355,49109,24621,22754,47375,15957,16372,32329,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Delhi,132906,126613,259519,131122,125667,256789,108192,115247,223439,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Panchkula,92092,68424,160516,90996,68065,159061,72397,60976,133373,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2016-17,Ajmer,68137,49109,117246,67524,48920,116444,56412,44478,100890,,,,2016,"Financial Year (Apr - Mar), 2016"
India,2018-19,Dehradun,67670,43411,111081,66503,43159,109662,47037,35849,82886,70.73,83.06,75.58,2018,"Financial Year (Apr - Mar), 2018"
India,2019-20,Patna,66443,36169,102612,64909,35789,100698,39966,27228,67194,61.57,76.08,66.73,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Chennai,45574,37511,83085,45338,37381,82719,41338,35535,76873,91.18,95.06,92.93,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Guwahati,24716,23716,48432,23931,23301,47232,15810,16632,32442,66.06,71.38,68.69,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Delhi,132983,129727,262710,131244,128624,259868,116317,122412,238729,88.63,95.17,91.87,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Panchkula,115456,86893,202349,114574,86646,201220,96268,79615,175883,84.02,91.89,87.41,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Bhubaneswar,37996,29066,67062,37321,28828,66149,29899,24754,54653,80.11,85.87,82.62,2019,"Financial Year (Apr - Mar), 2019"
India,2019-20,Ajmer,83998,58576,142574,83494,58416,141910,68831,52300,121131,82.44,89.53,85.36,2019,"Financial Year (Apr - Mar), 2019"
India,2013-14,Patna,47231,23348,70579,45435,22970,68405,31665,18939,50604,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Bhubaneswar,22938,16906,39844,22502,16754,39256,18761,14925,33686,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Dehradun,,,,,,,,,,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Allahabad,111836,58972,170808,108888,58364,167252,72858,47270,120128,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Thiruvananthapuram,,,,,,,,,,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Chennai,42550,35567,78117,42253,35363,77616,38057,33214,71271,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Guwahati,22301,19196,41497,21685,18874,40559,16064,14278,30342,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Delhi,135376,126502,261878,133657,125341,258998,110181,114584,224765,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Panchkula,81778,59726,141504,80622,59345,139967,63142,52300,115442,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2013-14,Ajmer,57760,39610,97370,57203,39459,96662,47688,35691,83379,,,,2013,"Financial Year (Apr - Mar), 2013"
India,2015-16,Patna,49169,25974,75143,45527,25331,70858,32490,20695,53185,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Bhubaneswar,26627,20268,46895,26187,20110,46297,21360,17875,39235,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Dehradun,67994,40181,108175,66417,39877,106294,45399,32783,78182,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Allahabad,54811,29292,84103,53179,28982,82161,38093,23869,61692,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Thiruvananthapuram,18171,17260,35431,18088,17213,35301,16931,16748,33679,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Chennai,29143,22349,51492,28912,22209,51121,26129,20461,46590,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Guwahati,24048,21382,45430,23211,20908,44119,15399,14941,30340,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Delhi,136437,130224,266661,134451,128910,263361,109701,117137,226838,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Panchkula,87780,65261,153041,86861,64924,151785,67197,57220,124417,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2015-16,Ajmer,65064,46488,111552,64500,46325,110825,52952,41442,94394,,,,2015,"Financial Year (Apr - Mar), 2015"
India,2011-12,Patna,41660,19912,61572,40338,19604,59942,26810,15895,42705,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Bhubaneswar,19137,13996,33133,18783,13856,32639,15358,12216,27574,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Allahabad,87515,47389,134904,85554,46965,132519,58454,38285,96739,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Chennai,34148,27606,61754,33889,27450,61339,30427,25585,56012,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Guwahati,18909,15176,34085,18325,14880,33205,12700,10847,23547,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Delhi,115382,104419,219801,114084,103542,217626,93071,92893,185964,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Panchkula,71747,50563,122310,70867,50235,121102,53661,43040,96701,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2011-12,Ajmer,46385,31408,77793,45955,31282,77237,37961,27727,65688,,,,2011,"Financial Year (Apr - Mar), 2011"
India,2008-09,Allahabad,97205,53878,151083,95237,53376,148613,68037,43770,111807,,,,2008,"Financial Year (Apr - Mar), 2008"
India,2008-09,Chennai,27010,21074,48084,26774,20927,47701,24200,19567,43767,,,,2008,"Financial Year (Apr - Mar), 2008"
India,2008-09,Guwahati,14480,11314,25794,13910,11000,24910,8566,7188,15754,,,,2008,"Financial Year (Apr - Mar), 2008"
India,2008-09,Delhi,84452,79060,163512,83470,78242,161712,67320,68019,135339,,,,2008,"Financial Year (Apr - Mar), 2008"
India,2008-09,Panchkula,50712,37008,87720,50156,36829,86985,38622,31666,70288,,,,2008,"Financial Year (Apr - Mar), 2008"
India,2008-09,Ajmer,35548,24996,60544,35351,24927,60278,29819,22219,52038,,,,2008,"Financial Year (Apr - Mar), 2008"
India,2009-10,Allahabad,116751,62943,179694,114037,62316,176353,80291,51191,131482,,,,2009,"Financial Year (Apr - Mar), 2009"
India,2009-10,Chennai,29851,24600,54451,29563,24437,54000,26726,22985,49711,,,,2009,"Financial Year (Apr - Mar), 2009"
India,2009-10,Guwahati,16620,13017,29637,15953,12742,28695,10041,8327,18368,,,,2009,"Financial Year (Apr - Mar), 2009"
India,2009-10,Delhi,96040,87625,183665,95045,86747,181792,76792,76374,153166,,,,2009,"Financial Year (Apr - Mar), 2009"
India,2009-10,Panchkula,59783,42989,102772,59040,42716,101756,45793,36837,82630,,,,2009,"Financial Year (Apr - Mar), 2009"
India,2009-10,Ajmer,40784,29094,69878,40513,28994,69507,34465,25960,60425,,,,2009,"Financial Year (Apr - Mar), 2009"
India,2020-21,Ajmer,51705,34458,86163,51388,34382,85770,43908,31224,75132,85.44,90.18,87.60,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Bhubhaneshwar,38293,30120,68413,37824,29935,67759,34135,27835,61970,90.25,92.98,91.46,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Panchkula,60145,46736,106881,59729,46595,106324,54091,44283,98374,90.56,95.04,92.52,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Delhi East,72219,70024,142243,71478,69527,141005,65922,66960,132882,92.23,96.31,94.24,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Guwahati,22014,21263,43277,21330,20903,42233,17257,17952,35209,80.90,85.88,83.37,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Chennai,30776,25712,56488,30637,25631,56268,29206,24907,54113,95.33,97.18,96.17,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Patna,68571,36887,105458,67085,36570,103655,47827,29467,77294,71.29,80.58,74.57,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Prayagraj,74305,43654,117959,73185,43357,116542,58464,37672,96136,79.89,86.89,82.49,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Thiruvananthapuram,17450,17998,35448,17401,17967,35368,16862,17683,34545,96.90,98.42,97.67,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Dehradun,34170,24406,58576,33850,24300,58150,27244,21146,48390,80.48,87.02,83.22,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Chandigarh,53922,44726,98648,53580,44586,98166,48271,42085,90356,90.09,94.39,92.04,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Pune,11977,10087,22064,11905,10059,21964,10565,9255,19820,88.74,92.01,90.24,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Bengaluru,6555,5354,11909,6526,5338,11864,6307,5207,11514,96.64,97.55,97.05,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Bhopal,32355,25753,58108,32208,25682,57890,28732,23919,52651,89.21,93.14,90.95,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Noida,57632,36701,94333,56672,36435,93107,46473,32551,79024,82.00,89.34,84.87,2020,"Financial Year (Apr - Mar), 2020"
India,2020-21,Delhi West,49920,47707,97627,49535,47361,96896,45922,45748,91670,92.71,96.59,94.61,2020,"Financial Year (Apr - Mar), 2020"
India,2014-15,Patna,51774,25427,77201,49417,25036,74453,34102,20646,54748,,,,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Bhubaneswar,24882,18888,43770,24459,18725,43184,20408,16838,37246,,,,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Dehradun,66712,38082,104794,64867,37750,102617,43743,30929,74672,,,,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Allahabad,53490,27535,81025,51335,27140,78475,36218,22713,58931,,,,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Thiruvananthapuram,18414,17224,35638,18347,17182,35529,16872,16619,33491,,,,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Chennai,25976,20465,46441,25738,20324,46062,23279,18928,42207,,,,2014,"Financial Year (Apr - Mar), 2014"
